"asset_id","filename","sha256","size_bytes","status","error_code"
"v2_asset_036","牛_吃料_牛舍_料槽_02.mp4","62e51d07a705a1b1014824fd3dbeb6a8a443a65136e57481b9de3360ee596ccd","2061816","PASS",""
"v2_asset_037","牛_吃料_牛舍_料槽_04.mp4","2f1d384dcb7fa15d1808d8b9a0bf9cbad7282a3f2cfbef7fc09911f1586700d5","3927236","PASS",""
"v2_asset_038","牛_吃料_牛舍_料槽_07.mp4","72eddc283963ee5b7d208042187792fdcc4179f15c7f6653eef17d523997b0b1","3095984","PASS",""
"v2_asset_039","牛_吃料_牛舍_长料槽_05.mp4","cb8066f47965ce249172ff3d14623596680f26106e140dcd2859ba1539df82d4","2261754","PASS",""
"v2_asset_040","牛_吃料_牛舍_长料槽_06.mp4","1f88a6cea74bde5b189a066095a91b549e5821f0bdf37107f64426b023512e40","1553063","PASS",""
"v2_asset_041","牛_喝水_户外牧场_水管_02.mp4","bd92cad0afc7d6d52b8aac12878cec154a75152989822068f783963f202ff21b","2807509","PASS",""
"v2_asset_042","牛_喝水_户外牧场_水盆_04.mp4","0ec673d6d69f03be61e4cec2f56eab791878da2d149a36349aca4f23eb48965a","3155641","PASS",""
"v2_asset_043","牛_喝水_户外牧场_水桶_01.mp4","74ea133a1ba1adaced65e10500294f122a4e4945a3902fd3b40593c12c6b1fae","4044827","PASS",""
"v2_asset_044","牛_喝水_户外牧场_水桶_06.mp4","598180d8af664c0816f653cc6d3c9d27d7127a367ef36f310fe938ec0e934da9","1336032","PASS",""
"v2_asset_045","牛_喝水_牛舍_水槽_03.mp4","7a8f40b20a3caa1069b95a0dfd9eacb9a2d7d7699aaf9f487864d8133b1b90a0","3092303","PASS",""
"v2_asset_046","牛_喝水_牛舍_水槽_05.mp4","fb6621eb572a856ed9cad64f314ec51ed6ece2d1251a2741a87c534ded06cb4c","2641247","PASS",""
"v2_asset_047","鸭_活动_户外地面_群体_04.mp4","343fe0cb6647d3e8e1bb7f792a74ab24de347dc7fdfe4b4497c9d8258af02ab0","1575444","PASS",""
"v2_asset_048","鸭_活动_户外地面_双鸭_03.mp4","84446d3ea671b13366fc18bb8902142d6a70c839135d4bbef6d539ca4ca36196","2150491","PASS",""
"v2_asset_049","鸭_活动_鸭舍_金属地面_01.mp4","c0f94ae0cf99b365405dabd1a5f932471b4bd4dbbd9077c408c40ad8d2c559a4","878901","PASS",""
"v2_asset_050","鸭_活动_鸭舍_群体_02.mp4","b23e41df296e8478f932f9812515abb438260ee71b80211702372a3f24292750","3474844","PASS",""
"v2_asset_051","羊_吃料_户外牧场_圆形料盆_07.mp4","4fe0eb61bf83f9a8702eeff890472619535045dd9e844d06d727450a70296a0c","4544384","PASS",""
"v2_asset_052","羊_吃料_室内羊舍_干草地面_06.mp4","5085d898ae65ddd653541e91290c6481974c7f0e318abb5eebe0d8ebfa5ba4aa","2748588","PASS",""
"v2_asset_053","羊_吃料_室内羊舍_银色金属料槽_01.mp4","3177850c3b7d5bb0e11c0dfbe8beeefd315cd1a0f8450e34bdf9cc70c0da1ba8","872977","PASS",""
"v2_asset_054","羊_吃料_羊舍_料槽_04.mp4","b20a6ab1bbc0a34bdde256160ff0cb5fadf5e624070e0253d2aeb82100831966","1959037","PASS",""
"v2_asset_055","羊_吃料_羊舍_圆形料盆_02.mp4","d562471fc4c0fb663b15d1a7cbd36f54644116f9067f259f7014e6c016b64665","1781878","PASS",""
"v2_asset_056","羊_吃料_羊舍_圆形料盆_05.mp4","1534b6fd0d54fb78f3327a882eff9fd21cee66ccc3a102fc73f15a87f1d66d8c","2353066","PASS",""
"v2_asset_057","羊_吃料_羊舍_长料槽_03.mp4","865a8e91659fb03f79296243e53731a36ff9ffad5c906cdb9fc55e9196efb117","1434871","PASS",""
"v2_asset_058","羊_喝水_户外牧场_水桶_05.mp4","0d4964d104de7065bd1171bff19ac6d37abf023980231f8ef4169d0c7e8a8187","1470219","PASS",""
"v2_asset_059","羊_喝水_户外牧场_长水槽_02.mp4","3bd2a9293e1eee604596151717847fbbea70345779b2f70c9e4e395f6d58ea91","4929352","PASS",""
"v2_asset_060","羊_喝水_羊舍_饮水盆_01.mp4","f638c6a4dda5d8eb1ffdc135e8817df2ac62edd2b76152f852756c913f47d56a","3729337","PASS",""
"v2_asset_061","羊_喝水_羊舍_圆形水盆_03.mp4","b3c28ae7791fdd303d6b17e042d0866178ad8cb3e20e9d9dcdd86fee9e5da778","2031185","PASS",""
"v2_asset_062","羊_喝水_羊舍_长水槽_04.mp4","08cf9e3fee0b3a33676495d300eb6b89759f74e0eda700a5d073b3f0c96d434a","3871115","PASS",""
"v2_asset_063","羊羔_活动_羊舍_群体幼羊_01.mp4","562faf1870ab85313329be1c7ed21c77f300a8d3f0fd353c7b4ea9fb3dd1ed82","1553490","PASS",""
"v2_asset_064","育肥猪_活动_猪舍_体况偏瘦_01.mov","195587b99cbeaf0e7f9776b98406ea592884dc4b7654286296003c12c26bfbad","3994147","PASS",""
"v2_asset_065","仔猪_吃奶_产房限位栏_黄色稀粪_01.mp4","b2861a8898012816a0b4722648f7138284e722a91053556d0524cb09920e2786","760468","PASS",""
"v2_asset_066","仔猪_吃奶_母猪身旁_产床_01.mp4","56881cf76fa5c6eff95bce17d131e8e2e720603ebf95f4de89aa6955110acfe4","4690134","PASS",""
"v2_asset_067","仔猪_吃奶_母猪身旁_产床_02.mp4","7b0900608cfb9826e8fff884a4863bd90a887cc86cf648042261bbabdc868af7","1761744","PASS",""
"v2_asset_068","仔猪_吃奶_母猪身旁_产床_03.mp4","c3c0cff97a991d04a28b9cc1764cb8c81521b1ff25f765dbf88a25cb6ca527fa","2697721","PASS",""
"v2_asset_069","仔猪_吃奶_母猪身旁_产床_04.mp4","584cb61f59dafb1f4bce6627e9e0c4165db8b92847bb9eeefdc85bdb4eb2bff6","1511669","PASS",""
"v2_asset_070","仔猪_吃奶_母猪身旁_产床_05.mp4","26e39bf0a59e9f05a8a28213459be183aecd9e9f72159686a9964f458b359a7f","1904150","PASS",""
"v2_asset_071","仔猪_吃奶_母猪身旁_产床_06.mp4","cfde2ddc642342e22d66f05975d2788019d54b9ea2cbacabe5e3c17d92eed1d0","1742869","PASS",""
"v2_asset_072","仔猪_活动_产房_栏位内_01.mp4","cbca8e60434b950aeed89916137f76ca37c88382315cce06a4ae1daf63519ba9","2324836","PASS",""
"v2_asset_073","仔猪_活动_户外草地_群体_06.mp4","15c76e78f6ec84e9554f67041be4a74a45cda6af41af74bdc2aef070158f4929","5755386","PASS",""
"v2_asset_074","仔猪_活动_户外猪舍_群体_04.mp4","e20e522b07eb28205820383e492607339eb4b6ff8000fe2b06dd03f89d3b8fd6","4789451","PASS",""
"v2_asset_075","仔猪_活动_猪舍_背部特写_01.mp4","9e105efca861c4133a4792f7704de88ca09b81b238cbd51c17d854a7d4e11798","2079160","PASS",""
"v2_asset_076","仔猪_活动_猪舍_漏缝地板_05.mp4","2f32f817f925dd501b36391529575058a81100084d7fcf5a3e2d32e5b1a5a973","1502807","PASS",""
"v2_asset_077","仔猪_活动_猪舍_群体栏位_03.mp4","4b9f4ab0aa6fd12633eda4c55df6dfa3b0927799957702ce573d3e03c2db9ecb","2465039","PASS",""
"v2_asset_078","猪_吃料_户外猪场_饲料盆_01.mp4","df3122a8d6baa1943d9ffd2aac1ee3c75a97260da203c5a7f3a1d8f8c91c796c","3068909","PASS",""
"v2_asset_079","猪_吃料_户外猪场_饲料盆_03.mp4","10376ffedbc4b770d1604ccec390d82651a2487cb335e71671b15767390dd6bd","1986482","PASS",""
"v2_asset_080","猪_吃料_户外猪场_饲料盆_04.mp4","680efd54fbfab130195f3af0096883a422a61351360cd8f9505072829677ecab","2781674","PASS",""
"v2_asset_081","猪_吃料_猪舍_黄色料槽_05.mp4","5396225e5478e7074c3c583e5eb0835fec74527405cb1196db35a45f41f5925e","4019897","PASS",""
"v2_asset_082","猪_吃料_猪舍_长料槽_02.mp4","ce69be85ea512082091ef7ee3d2bdf3dbeefdb61c1fa9836e0df21766cb01631","2757228","PASS",""
"v2_asset_083","猪_吃料_猪舍_长料槽_06.mp4","9f8b5fe02e216c6a46cb1e8c0a3ad41210b2951dc6fe4ff61795f73fac2b574e","1756133","PASS",""
"v2_asset_084","猪_喝水_户外猪场_泥水坑_02.mp4","3a9c8026c5b83cd27ed9fa3ca0a72c21ac9f32312766a32267a57f392552162e","5549697","PASS",""
"v2_asset_085","猪_喝水_户外猪场_水槽_05.mp4","849108e0405be6c181f268bbcef4adc644e96843bb0bdcf8e24c2c43d5119e41","3757625","PASS",""
"v2_asset_086","猪_喝水_猪舍_饮水槽_01.mp4","2ef81129d58d0ce1f765ff5763df0694dc9421d008f74a2b2a0efcae16ac89d2","1582040","PASS",""
"v2_asset_087","猪_喝水_猪舍_饮水槽_03.mp4","5e38ba619e76e91c689aaf7c648ed067efa831505d660e087cd5fb543219c0ca","1844173","PASS",""
"v2_asset_088","猪_喝水_猪舍_饮水槽_06.mp4","22194dca171afab935742bf4133ad0c6f9bd7b48bee1a431e50d72db30a3d922","1922852","PASS",""
"v2_asset_089","猪_喝水_猪舍_自动饮水器_04.mp4","044644c851f02b6c61c89e8deff292040de196a05fd76e90d648fba58cdeac1f","1340468","PASS",""
"v2_asset_090","猪_活动_明亮猪舍_采光管理_01.mp4","fe3b3841035dd2dbb6773f7c7a12db01a03daf4978b4d85f441d1818ef6044fc","8995286","PASS",""
